Filename,Commons_URL,Latitude,Longitude,Date,Has_GPS,Description,Inferred_Location,Inferred_Latitude,Inferred_Longitude,Display_Name,Geocoding_Precision,Has_Inferred_GPS
2026 Ibolo Welfare initiative Program 11.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/2026_Ibolo_Welfare_initiative_Program_11.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 12.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/2026_Ibolo_Welfare_initiative_Program_12.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 13.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2e/2026_Ibolo_Welfare_initiative_Program_13.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 14.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/2026_Ibolo_Welfare_initiative_Program_14.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 15.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/2026_Ibolo_Welfare_initiative_Program_15.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 16.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/2026_Ibolo_Welfare_initiative_Program_16.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 17.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9d/2026_Ibolo_Welfare_initiative_Program_17.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 18.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/2026_Ibolo_Welfare_initiative_Program_18.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 19.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/2026_Ibolo_Welfare_initiative_Program_19.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 20.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/2026_Ibolo_Welfare_initiative_Program_20.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
"A&T Store, Offa.jpg",https://upload.wikimedia.org/wikipedia/commons/1/1d/A%26T_Store%2C_Offa.jpg,,,2026-06-06,False,"Front view of A&T Store, Offa is a store where you can get all your daily need suche as provisions, Toiletries atc","Front view of A&T Store, Offa",8.156,4.724,"Front view of A&T Store, Offa",partial_match,True
"Abike Memorial clinic, Offa, kwara state 01.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d7/Abike_Memorial_clinic%2C_Offa%2C_kwara_state_01.jpg,,,2026-05-30,False,"Abike Memorial clinic, Offa, kwara state","Abike Memorial clinic, Offa",8.156,4.724,"Abike Memorial clinic, Offa",partial_match,True
"Abike Memorial clinic, Offa, kwara state 02.jpg",https://upload.wikimedia.org/wikipedia/commons/8/89/Abike_Memorial_clinic%2C_Offa%2C_kwara_state_02.jpg,,,2026-05-30,False,"Abike Memorial clinic, Offa, kwara state","Abike Memorial clinic, Offa",8.156,4.724,"Abike Memorial clinic, Offa",partial_match,True
"Abike Memorial clinic, Offa, kwara state 03.jpg",https://upload.wikimedia.org/wikipedia/commons/8/81/Abike_Memorial_clinic%2C_Offa%2C_kwara_state_03.jpg,,,2026-05-30,False,"Abike Memorial clinic, Offa, kwara state","Abike Memorial clinic, Offa",8.156,4.724,"Abike Memorial clinic, Offa",partial_match,True
"Abike Memorial clinic, Offa, kwara state 04.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b6/Abike_Memorial_clinic%2C_Offa%2C_kwara_state_04.jpg,,,2026-05-30,False,"Abike Memorial clinic, Offa, kwara state","Abike Memorial clinic, Offa",8.156,4.724,"Abike Memorial clinic, Offa",partial_match,True
"Abike Memorial clinic, Offa, kwara state 05.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9f/Abike_Memorial_clinic%2C_Offa%2C_kwara_state_05.jpg,,,2026-05-30,False,"Abike Memorial clinic, Offa, kwara state","Abike Memorial clinic, Offa",8.156,4.724,"Abike Memorial clinic, Offa",partial_match,True
"Abike Memorial clinic, Offa, kwara state 06.jpg",https://upload.wikimedia.org/wikipedia/commons/e/e0/Abike_Memorial_clinic%2C_Offa%2C_kwara_state_06.jpg,,,2026-05-30,False,"Abike Memorial clinic, Offa, kwara state","Abike Memorial clinic, Offa",8.156,4.724,"Abike Memorial clinic, Offa",partial_match,True
"Abike Memorial clinic, Offa, kwara state 07.jpg",https://upload.wikimedia.org/wikipedia/commons/8/87/Abike_Memorial_clinic%2C_Offa%2C_kwara_state_07.jpg,,,2026-05-30,False,"Abike Memorial clinic, Offa, kwara state","Abike Memorial clinic, Offa",8.156,4.724,"Abike Memorial clinic, Offa",partial_match,True
"Adiat hall, Summit University Offa 01.jpg",https://upload.wikimedia.org/wikipedia/commons/4/4f/Adiat_hall%2C_Summit_University_Offa_01.jpg,,,2026-05-29,False,"Adiat hall, Summit University Offa","Adiat hall, Summit University Offa",8.16,4.72,"Adiat hall, Summit University Offa",partial_match,True
"Adiat hall, Summit University Offa 02.jpg",https://upload.wikimedia.org/wikipedia/commons/3/33/Adiat_hall%2C_Summit_University_Offa_02.jpg,,,2026-05-29,False,"Adiat hall, Summit University Offa","Adiat hall, Summit University Offa",8.16,4.72,"Adiat hall, Summit University Offa",partial_match,True
"Adiat hall, Summit University Offa 03.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a4/Adiat_hall%2C_Summit_University_Offa_03.jpg,,,2026-05-29,False,"Adiat hall, Summit University Offa","Adiat hall, Summit University Offa",8.16,4.72,"Adiat hall, Summit University Offa",partial_match,True
"Adiat hall, Summit University Offa 04.jpg",https://upload.wikimedia.org/wikipedia/commons/4/40/Adiat_hall%2C_Summit_University_Offa_04.jpg,,,2026-05-29,False,"Adiat hall, Summit University Offa","Adiat hall, Summit University Offa",8.16,4.72,"Adiat hall, Summit University Offa",partial_match,True
"Agara Idera Central Mosque, Oyun Local Government Area Kwara State 01.jpg",https://upload.wikimedia.org/wikipedia/commons/0/0d/Agara_Idera_Central_Mosque%2C_Oyun_Local_Government_Area_Kwara_State_01.jpg,,,2026-05-29,False,"The Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State","Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State",8.156,4.725,"Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State",partial_match,True
"Agara Idera Central Mosque, Oyun Local Government Area Kwara State 02.jpg",https://upload.wikimedia.org/wikipedia/commons/f/f6/Agara_Idera_Central_Mosque%2C_Oyun_Local_Government_Area_Kwara_State_02.jpg,,,2026-05-29,False,"The Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State","Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State",8.156,4.725,"Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State",partial_match,True
"Agara Idera Central Mosque, Oyun Local Government Area Kwara State 03.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d7/Agara_Idera_Central_Mosque%2C_Oyun_Local_Government_Area_Kwara_State_03.jpg,,,2026-05-29,False,"The Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State","Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State",8.156,4.725,"Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State",partial_match,True
"Agara Idera Central Mosque, Oyun Local Government Area Kwara State 04.jpg",https://upload.wikimedia.org/wikipedia/commons/a/ac/Agara_Idera_Central_Mosque%2C_Oyun_Local_Government_Area_Kwara_State_04.jpg,,,2026-05-29,False,"The Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State","Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State",8.156,4.725,"Exterior view of Agara Idera Central Mosque, Oyun Local Government Area Kwara State",partial_match,True
"Ajegunle basic health center, offa kwara state 01.jpg",https://upload.wikimedia.org/wikipedia/commons/4/41/Ajegunle_basic_health_center%2C_offa_kwara_state_01.jpg,,,2026-05-27,False,"Ajegunle basic health center offa, kwara state",Ajegunle basic health center offa,8.16,4.725,Ajegunle basic health center offa,partial_match,True
"Ajegunle basic health center, offa kwara state 02.jpg",https://upload.wikimedia.org/wikipedia/commons/f/f6/Ajegunle_basic_health_center%2C_offa_kwara_state_02.jpg,,,2026-05-27,False,"Ajegunle basic health center offa, kwara state",Ajegunle basic health center offa,8.16,4.725,Ajegunle basic health center offa,partial_match,True
"Ajegunle basic health center, offa kwara state 03.jpg",https://upload.wikimedia.org/wikipedia/commons/f/fa/Ajegunle_basic_health_center%2C_offa_kwara_state_03.jpg,,,2026-05-27,False,"Ajegunle basic health center offa, kwara state",Ajegunle basic health center offa,8.16,4.725,Ajegunle basic health center offa,partial_match,True
"Ajegunle basic health center, offa kwara state 04.jpg",https://upload.wikimedia.org/wikipedia/commons/7/75/Ajegunle_basic_health_center%2C_offa_kwara_state_04.jpg,,,2026-05-27,False,"Ajegunle basic health center offa, kwara state",Ajegunle basic health center offa,8.16,4.725,Ajegunle basic health center offa,partial_match,True
"Ajegunle central mosque, offa, kwara state 01.jpg",https://upload.wikimedia.org/wikipedia/commons/1/14/Ajegunle_central_mosque%2C_offa%2C_kwara_state_01.jpg,,,2026-05-27,False,"Ajegunle central mosque, offa, kwara state",Ajegunle central mosque,8.16,4.725,Ajegunle central mosque,exact_match,True
"Ajegunle central mosque, offa, kwara state 02.jpg",https://upload.wikimedia.org/wikipedia/commons/0/05/Ajegunle_central_mosque%2C_offa%2C_kwara_state_02.jpg,,,2026-05-27,False,"Ajegunle central mosque, offa, kwara state",Ajegunle central mosque,8.16,4.725,Ajegunle central mosque,exact_match,True
"Ajegunle central mosque, offa, kwara state 03.jpg",https://upload.wikimedia.org/wikipedia/commons/e/e4/Ajegunle_central_mosque%2C_offa%2C_kwara_state_03.jpg,,,2026-05-27,False,"Ajegunle central mosque, offa, kwara state",Ajegunle central mosque,8.16,4.725,Ajegunle central mosque,exact_match,True
"Ajegunle central mosque, offa, kwara state 04.jpg",https://upload.wikimedia.org/wikipedia/commons/5/5e/Ajegunle_central_mosque%2C_offa%2C_kwara_state_04.jpg,,,2026-05-27,False,"Ajegunle central mosque, offa, kwara state",Ajegunle central mosque,8.16,4.725,Ajegunle central mosque,exact_match,True
"Ajegunle central mosque, offa, kwara state 05.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9a/Ajegunle_central_mosque%2C_offa%2C_kwara_state_05.jpg,,,2026-05-27,False,"Ajegunle central mosque, offa, kwara state",Ajegunle central mosque,8.16,4.725,Ajegunle central mosque,exact_match,True
"Ajegunle central mosque, offa, kwara state 06.jpg",https://upload.wikimedia.org/wikipedia/commons/0/06/Ajegunle_central_mosque%2C_offa%2C_kwara_state_06.jpg,,,2026-05-27,False,"Ajegunle central mosque, offa, kwara state",Ajegunle central mosque,8.16,4.725,Ajegunle central mosque,exact_match,True
"Ajegunle central mosque, offa, kwara state 07.jpg",https://upload.wikimedia.org/wikipedia/commons/3/37/Ajegunle_central_mosque%2C_offa%2C_kwara_state_07.jpg,,,2026-05-27,False,"Ajegunle central mosque, offa, kwara state",Ajegunle central mosque,8.16,4.725,Ajegunle central mosque,exact_match,True
Akinale Compound Mosque 01.jpg,https://upload.wikimedia.org/wikipedia/commons/0/07/Akinale_Compound_Mosque_01.jpg,,,2026-06-02,False,Akinale Compound Mosque,Akinale Compound Mosque,8.158,4.72,Akinale Compound Mosque,exact_match,True
Akinale Compound Mosque 02.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Akinale_Compound_Mosque_02.jpg,,,2026-06-02,False,Akinale Compound Mosque,Akinale Compound Mosque,8.158,4.72,Akinale Compound Mosque,exact_match,True
Akinale Compound Mosque 03.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3b/Akinale_Compound_Mosque_03.jpg,,,2026-06-02,False,Akinale Compound Mosque,Akinale Compound Mosque,8.158,4.72,Akinale Compound Mosque,exact_match,True
Akinale Compound Mosque 04.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Akinale_Compound_Mosque_04.jpg,,,2026-06-02,False,Akinale Compound Mosque,Akinale Compound Mosque,8.158,4.72,Akinale Compound Mosque,exact_match,True
Akinale Compound Mosque 05.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Akinale_Compound_Mosque_05.jpg,,,2026-06-02,False,Akinale Compound Mosque,Akinale Compound Mosque,8.158,4.72,Akinale Compound Mosque,exact_match,True
Akinale Compound Mosque 06.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Akinale_Compound_Mosque_06.jpg,,,2026-06-02,False,Akinale Compound Mosque Offa,Akinale Compound Mosque Offa,8.158,4.72,Akinale Compound Mosque Offa,partial_match,True
Akinale Compound Mosque 07.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Akinale_Compound_Mosque_07.jpg,,,2026-06-02,False,Akinale Compound Mosque,Akinale Compound Mosque,8.158,4.72,Akinale Compound Mosque,exact_match,True
"Al-hisan school offa, kwara state 01.jpg",https://upload.wikimedia.org/wikipedia/commons/4/45/Al-hisan_school_offa%2C_kwara_state_01.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 02.jpg",https://upload.wikimedia.org/wikipedia/commons/2/2a/Al-hisan_school_offa%2C_kwara_state_02.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 03.jpg",https://upload.wikimedia.org/wikipedia/commons/3/37/Al-hisan_school_offa%2C_kwara_state_03.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 04.jpg",https://upload.wikimedia.org/wikipedia/commons/7/77/Al-hisan_school_offa%2C_kwara_state_04.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 05.jpg",https://upload.wikimedia.org/wikipedia/commons/4/45/Al-hisan_school_offa%2C_kwara_state_05.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 06.jpg",https://upload.wikimedia.org/wikipedia/commons/8/86/Al-hisan_school_offa%2C_kwara_state_06.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 07.jpg",https://upload.wikimedia.org/wikipedia/commons/7/71/Al-hisan_school_offa%2C_kwara_state_07.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 08.jpg",https://upload.wikimedia.org/wikipedia/commons/b/be/Al-hisan_school_offa%2C_kwara_state_08.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 09.jpg",https://upload.wikimedia.org/wikipedia/commons/d/dc/Al-hisan_school_offa%2C_kwara_state_09.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Al-hisan school offa, kwara state 10.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a8/Al-hisan_school_offa%2C_kwara_state_10.jpg,,,2026-05-30,False,"Al-hisan school offa, kwara state",Al-hisan school offa,8.157,4.724,Al-hisan school offa,partial_match,True
"Alubata Oju-irin Mosque, Offa 01.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d9/Alubata_Oju-irin_Mosque%2C_Offa_01.jpg,,,2026-06-03,False,"Alubata Oju-irin Mosque, Offa","Mosque, Offa",,,,failed,False
"Alubata Oju-irin Mosque, Offa 02.jpg",https://upload.wikimedia.org/wikipedia/commons/e/e5/Alubata_Oju-irin_Mosque%2C_Offa_02.jpg,,,2026-06-03,False,"Alubata Oju-irin Mosque, Offa","Mosque, Offa",,,,failed,False
"Alubata Oju-irin Mosque, Offa 03.jpg",https://upload.wikimedia.org/wikipedia/commons/f/f0/Alubata_Oju-irin_Mosque%2C_Offa_03.jpg,,,2026-06-03,False,"Alubata Oju-irin Mosque, Offa is a mosque that allows people to perform only 5daily, Jumah service is not included","Mosque, Offa",,,,failed,False
"Alubata Oju-irin Mosque, Offa 04.jpg",https://upload.wikimedia.org/wikipedia/commons/9/93/Alubata_Oju-irin_Mosque%2C_Offa_04.jpg,,,2026-06-03,False,"Alubata Oju-irin Mosque, Offa","Mosque, Offa",,,,failed,False
"Alubata Oju-irin Mosque, Offa 05.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d4/Alubata_Oju-irin_Mosque%2C_Offa_05.jpg,,,2026-06-03,False,"Alubata Oju-irin Mosque, Offa","Mosque, Offa",,,,failed,False
"Alubata Oju-irin Mosque, Offa 06.jpg",https://upload.wikimedia.org/wikipedia/commons/8/82/Alubata_Oju-irin_Mosque%2C_Offa_06.jpg,,,2026-06-03,False,"Alubata Oju-irin Mosque, Offa","Mosque, Offa",,,,failed,False
"Alubata Oju-irin Mosque, Offa 07.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c2/Alubata_Oju-irin_Mosque%2C_Offa_07.jpg,,,2026-06-03,False,"Alubata Oju-irin Mosque, Offa","Mosque, Offa",,,,failed,False
"Alubata Oju-irin Mosque, Offa 08.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c6/Alubata_Oju-irin_Mosque%2C_Offa_08.jpg,,,2026-06-03,False,"Alubata Oju-irin Mosque, Offa","Mosque, Offa",,,,failed,False
"Alubata Oju-irin Vocational center, Offa 01.jpg",https://upload.wikimedia.org/wikipedia/commons/0/0f/Alubata_Oju-irin_Vocational_center%2C_Offa_01.jpg,,,2026-06-03,False,"Alubata Oju-irin Vocational center, Offa","Vocational center, Offa",,,,failed,False
"Alubata Oju-irin Vocational center, Offa 02.jpg",https://upload.wikimedia.org/wikipedia/commons/3/30/Alubata_Oju-irin_Vocational_center%2C_Offa_02.jpg,,,2026-06-03,False,"Alubata Oju-irin Vocational center, Offa","Vocational center, Offa",,,,failed,False
"Alubata Oju-irin Vocational center, Offa 03.jpg",https://upload.wikimedia.org/wikipedia/commons/0/07/Alubata_Oju-irin_Vocational_center%2C_Offa_03.jpg,,,2026-06-03,False,"Alubata Oju-irin Vocational center, Offa","Vocational center, Offa",,,,failed,False
"Alubata Oju-irin Vocational center, Offa 04.jpg",https://upload.wikimedia.org/wikipedia/commons/c/cd/Alubata_Oju-irin_Vocational_center%2C_Offa_04.jpg,,,2026-06-03,False,"Alubata Oju-irin Vocational center, Offa","Vocational center, Offa",,,,failed,False
"Alubata Oju-irin Vocational center, Offa 05.jpg",https://upload.wikimedia.org/wikipedia/commons/8/89/Alubata_Oju-irin_Vocational_center%2C_Offa_05.jpg,,,2026-06-03,False,"Alubata Oju-irin Vocational center, Offa","Vocational center, Offa",,,,failed,False
"Alubata Oju-irin Vocational center, Offa 06.jpg",https://upload.wikimedia.org/wikipedia/commons/2/29/Alubata_Oju-irin_Vocational_center%2C_Offa_06.jpg,,,2026-06-03,False,"Alubata Oju-irin Vocational center, Offa","Vocational center, Offa",,,,failed,False
"Anilelerin LGEA School, Ayaba Area Offa 01.jpg",https://upload.wikimedia.org/wikipedia/commons/1/16/Anilelerin_LGEA_School%2C_Ayaba_Area_Offa_01.jpg,,,2026-06-11,False,"Anilelerin LGEA School, Ayaba Area Offa","LGEA School, Ayaba Area Offa",8.155,4.727,"LGEA School, Ayaba Area Offa",partial_match,True
"Anilelerin LGEA School, Ayaba Area Offa 02.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9f/Anilelerin_LGEA_School%2C_Ayaba_Area_Offa_02.jpg,,,2026-06-11,False,"Anilelerin LGEA School, Ayaba Area Offa","LGEA School, Ayaba Area Offa",8.155,4.727,"LGEA School, Ayaba Area Offa",partial_match,True
"Anilelerin LGEA School, Ayaba Area Offa 03.jpg",https://upload.wikimedia.org/wikipedia/commons/6/68/Anilelerin_LGEA_School%2C_Ayaba_Area_Offa_03.jpg,,,2026-06-11,False,"Anilelerin LGEA School, Ayaba Area Offa","LGEA School, Ayaba Area Offa",8.155,4.727,"LGEA School, Ayaba Area Offa",partial_match,True
"Anilelerin LGEA School, Ayaba Area Offa 04.jpg",https://upload.wikimedia.org/wikipedia/commons/f/fc/Anilelerin_LGEA_School%2C_Ayaba_Area_Offa_04.jpg,,,2026-06-11,False,"Anilelerin LGEA School, Ayaba Area Offa","LGEA School, Ayaba Area Offa",8.155,4.727,"LGEA School, Ayaba Area Offa",partial_match,True
"Anilelerin LGEA School, Ayaba Area Offa 05.jpg",https://upload.wikimedia.org/wikipedia/commons/e/e0/Anilelerin_LGEA_School%2C_Ayaba_Area_Offa_05.jpg,,,2026-06-11,False,"Anilelerin LGEA School, Ayaba Area Offa","LGEA School, Ayaba Area Offa",8.155,4.727,"LGEA School, Ayaba Area Offa",partial_match,True
"Anilelerin LGEA School, Ayaba Area Offa 06.jpg",https://upload.wikimedia.org/wikipedia/commons/9/92/Anilelerin_LGEA_School%2C_Ayaba_Area_Offa_06.jpg,,,2026-06-11,False,"Anilelerin LGEA School, Ayaba Area Offa","LGEA School, Ayaba Area Offa",8.155,4.727,"LGEA School, Ayaba Area Offa",partial_match,True
